node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,banker,PPG_director,PPG_member,bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,,,,,,,False,False,False,2,8,2.4499999999999997,0.2869198312236287,0.07959681352625589,0.00429728575304912,0.008504278724866962,7.9727891156462585,8.625,0.012883111737220598,0.01050849184000511,0.4642857142857143,13,6,14,5,4.0,222.0,259.0,244.0,256.0,211.0,124.0,293.0,327.0,8,1.96,8.625,43,10.54,10.511627906976743,193,47.3,10.621761658031089
person,,,,,,,True,False,False,2,11,3.416666666666667,0.2989010989010989,0.08679004467134652,0.005395409794845987,0.007430902601357143,11.682926829268292,12.181818181818182,0.043152295456633905,0.06519107316623524,0.5818181818181818,32,6,28,8,5.5,103.0,95.0,157.0,79.0,175.0,157.0,107.0,62.0,11,2.7,12.181818181818182,59,14.46,11.559322033898304,230,56.37,10.647826086956522
person,,,,,,,False,False,False,2,10,2.916666666666667,0.3192488262910798,0.08523973675963648,0.0126852382170381,0.010030456353985764,11.399999999999999,12.5,0.05192755747311021,0.030983438847043118,0.4444444444444444,20,5,17,6,5.0,140.0,176.0,59.0,118.0,45.0,84.0,73.0,203.0,10,2.45,12.5,74,18.14,11.878378378378379,279,68.38,10.28673835125448
person,,,,,,,True,False,False,2,9,2.7333333333333334,0.2975929978118162,0.0825910931174089,0.00873660945904534,0.008871208871208874,10.317073170731705,11.0,0.0211488127047901,0.026580677585495264,0.5,18,7,20,6,4.5,176.0,205.0,170.0,174.0,85.0,107.0,227.0,232.0,9,2.21,11.0,60,14.71,10.216666666666667,232,56.86,10.275862068965518
person,,,,,,,False,False,False,2,7,2.1666666666666665,0.27736233854520737,0.07947793902795364,0.013366122021900172,0.012022085985989726,7.884615384615385,7.857142857142857,0.008902168326743265,0.010026193243407653,0.5238095238095238,11,5,12,5,3.5,265.0,290.0,285.0,258.0,40.0,47.0,328.0,335.0,7,1.72,7.857142857142857,33,8.09,9.424242424242424,164,40.2,10.78048780487805
person,,,,,,,True,False,True,2,9,2.7,0.29310344827586204,0.082502022108385,0.007064554519058826,0.008041363556069438,11.376543209876543,12.0,0.03371647464261824,0.04865305039837727,0.5,18,6,23,7,4.5,176.0,209.0,199.0,177.0,111.0,138.0,147.0,105.0,9,2.21,12.0,67,16.42,11.0,205,50.25,10.326829268292682
person,,,,,,,False,False,False,2,7,2.916666666666666,0.2738255033557047,0.08111332007952286,0.0019712804671622305,0.0035535250608780037,8.914285714285715,9.714285714285714,0.01125619540259078,0.023648700988865207,0.6190476190476191,13,7,17,6,3.5,265.0,182.0,295.0,220.0,321.0,298.0,310.0,252.0,7,1.72,9.714285714285714,41,10.05,10.75609756097561,161,39.46,10.677018633540373
person,,,,,,,True,False,False,2,6,1.9166666666666665,0.21009268795056643,0.06435500407476538,0.0039978436055211,0.0066900361018008055,4.91304347826087,5.0,0.0005338678280549561,0.002170407516736724,0.4666666666666667,7,7,6,4,3.0,304.0,311.0,403.0,399.0,230.0,181.0,405.0,397.0,6,1.47,5.0,15,3.68,4.533333333333333,37,9.07,7.108108108108108
person,,,,,,,True,False,False,2,11,3.2833333333333337,0.3250996015936255,0.08366084549400224,0.002122618526215665,0.0024687263657851882,15.984771573604059,16.727272727272727,0.1052205152859924,0.08410619704228853,0.6727272727272727,37,6,29,8,5.5,103.0,117.0,43.0,152.0,317.0,335.0,25.0,36.0,11,2.7,16.727272727272727,87,21.32,12.137931034482758,295,72.3,10.477966101694916
person,,,,,,,False,False,False,2,3,1.0,0.2292134831460674,0.07207207207207207,0.0007563733534563994,0.0014380308497955556,6.0,6.0,0.0018067605608390578,0.003995900991583414,0.3333333333333333,1,7,4,3,1.5,386.0,389.0,390.0,360.0,365.0,360.0,385.0,378.0,3,0.74,6.0,16,3.92,8.875,67,16.42,10.328358208955224
