node,node_type,org_cat,corp_cat,corp_sub,rank,bipartite_degree,ppg_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,corp_bipartite_degree,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Stone & Webster,org,Corporation,non-financial,utility,NF-057,14,14,23,0.9190602769811763,0.41100917431192663,0.01917282936181868,0.014223855910398658,0.021780909673286355,17.473553503510335,17.043478260869566,0.1112644936478196,0.03704657556830522,0.28063241106719367,71,5,34,8,14.0,1.6428571428571428,14.0,26.0,40.0,16.0,43.0,36.0,24.0,48.0,23,10.27,17.043478260869566,121,54.02,14.330578512396695,208,92.86,11.01923076923077
Sun Oil Company,org,Corporation,non-financial,industrial,NF-152,7,7,2,0.08116883116883117,0.29747675962815406,0.011766318914381532,0.0005101859236113834,0.0011210762331838565,11.16,12.0,0.0038894451889391465,0.0030977033238992935,0.0,0,6,2,2,7.0,0.2857142857142857,190.0,194.0,197.0,197.0,171.0,148.0,203.0,171.0,2,0.89,12.0,24,10.71,12.791666666666666,130,58.04,14.1
Swift & Company,org,Corporation,non-financial,industrial,NF-067,9,9,4,0.1717948717948718,0.32,0.012271447870412048,0.0013138556248199831,0.001521460602178091,8.15174129353234,9.5,0.009732232483666921,0.0017385234069243025,0.16666666666666666,1,5,4,3,9.0,0.4444444444444444,164.0,172.0,175.0,183.0,147.0,142.0,180.0,195.0,4,1.79,9.5,36,16.07,17.22222222222222,164,73.21,12.853658536585366
Terminal Railroad Association of St. Louis,org,Corporation,non-financial,railroad,NF-179,17,17,12,0.4871923783986206,0.36363636363636365,0.015058448177500407,0.017970998127991862,0.013072549647661755,9.762446286154816,11.25,0.026975753903372958,0.007908845749015367,0.21212121212121213,14,6,16,7,17.0,0.7058823529411765,72.0,91.0,107.0,118.0,35.0,57.0,126.0,138.0,12,5.36,11.25,76,33.93,13.68421052631579,197,87.95,11.461928934010153
Texas Corporation,org,Corporation,non-financial,industrial,NF-048,15,15,11,0.45873134820108696,0.36721311475409835,0.01517860268765169,0.0070724702276218545,0.007667360666239589,13.440405003337457,14.0,0.035001034415499836,0.010547138760903805,0.2545454545454545,14,5,21,8,15.0,0.7333333333333333,84.0,93.0,103.0,114.0,83.0,87.0,114.0,122.0,11,4.91,14.0,86,38.39,15.19767441860465,193,86.16,11.7720207253886
Third Avenue Railway,org,Corporation,non-financial,railroad,NF-151,13,13,10,0.45705567580567574,0.36012861736334406,0.014348461073199663,0.00539165138791026,0.0005605381165919282,15.362719110731081,17.1,0.04227892381641783,0.009668586341114092,0.6666666666666666,30,5,22,8,13.0,0.7692307692307693,94.0,94.0,117.0,136.0,93.0,162.0,94.0,130.0,10,4.46,17.1,76,33.93,15.236842105263158,190,84.82,11.805263157894737
Tide Water Associated Oil Company,org,Corporation,non-financial,industrial,NF-101,12,12,7,0.32116479925303454,0.38030560271646857,0.01600901732404375,0.008609987121547652,0.036535073670723894,17.480514147412183,19.714285714285715,0.038045567477445405,0.013740864931456093,0.2857142857142857,6,5,8,5,12.0,0.5833333333333334,128.0,119.0,80.0,89.0,73.0,16.0,105.0,110.0,7,3.12,19.714285714285715,95,42.41,15.821052631578947,206,91.96,11.174757281553399
Travelers Insurance Company,org,Corporation,financial,insurance,F-015,15,15,9,0.2549693762155062,0.37333333333333335,0.013206529314831279,0.0032144723947998667,0.004604420243433696,17.314001944446897,17.555555555555557,0.041797779197376844,0.01126509022389753,0.3333333333333333,12,5,20,7,15.0,0.6,105.0,144.0,91.0,164.0,126.0,117.0,96.0,119.0,9,4.02,17.555555555555557,87,38.84,15.402298850574713,201,89.73,11.417910447761194
Union Carbide & Carbon Corporation,org,Corporation,non-financial,industrial,NF-075,8,8,14,0.6943863348454571,0.3848797250859107,0.01650220459139463,0.004415578127792992,0.015274663677130044,16.553062481662106,16.714285714285715,0.05960834810800736,0.016410437299474157,0.45054945054945056,41,5,26,8,8.0,1.75,56.0,48.0,74.0,77.0,105.0,53.0,68.0,103.0,14,6.25,16.714285714285715,102,45.54,14.77450980392157,199,88.84,11.452261306532664
Union Oil Company of California,org,Corporation,non-financial,industrial,NF-121,13,13,4,0.12459281650071125,0.3159379407616361,0.01227118216953405,0.0,0.0,12.836580040244893,12.75,0.011696457295431886,0.00209802121398464,1.0,6,5,5,4,13.0,0.3076923076923077,164.0,182.0,179.0,184.0,193.0,178.0,172.0,186.0,4,1.79,12.75,37,16.52,16.56756756756757,155,69.2,12.735483870967743
