node,node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,banker,PPG_director,PPG_member,bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Shackouls / Bobby S.,person,,,,,,,False,False,False,2,2.0,12,3.866666666666667,0.3300529901589705,0.0934018851756641,0.009487264108334075,0.015997035174510652,11.965517241379308,12.666666666666666,0.021514388895168286,0.024056359631545517,0.45454545454545453,30,6,21,7,6.0,112.0,90.0,91.0,36.0,65.0,14.0,129.0,120.0,12,2.75,12.666666666666666,90,20.64,14.911111111111111,335,76.83,11.755223880597015
Shapiro / Marc J.,person,,,,,,,False,False,False,2,2.0,12,3.7500000000000004,0.30639494026704145,0.08802745810619826,0.007575657569036054,0.017176810968332637,10.422222222222219,10.75,0.004498679562441095,0.006752786422161895,0.45454545454545453,30,6,19,6,6.0,112.0,103.0,204.0,109.0,91.0,8.0,302.0,290.0,12,2.75,10.75,66,15.14,11.106060606060606,264,60.55,12.401515151515152
Sharer / Kevin W.,person,,,,,,,False,False,False,3,3.0,16,3.8833333333333337,0.331306990881459,0.0838622812079246,0.007389177309500627,0.00505342133466145,13.472103004291844,14.1875,0.03127707222333842,0.031171108383496102,0.35,42,7,26,7,5.333333333333333,64.0,88.0,84.0,194.0,96.0,230.0,81.0,88.0,16,3.67,14.1875,109,25.0,14.587155963302752,320,73.39,11.884375
Shattuck / Mayo A. III,person,,,,,,,True,False,False,3,3.0,5,1.2,0.2684729064039409,0.07349966284558328,0.008111244649110533,0.006026352085352403,6.791666666666667,7.0,0.0018873373970000236,0.0015151190569421137,0.2,2,6,6,4,1.6666666666666667,364.0,412.0,369.0,380.0,82.0,189.0,377.0,400.0,5,1.15,7.0,31,7.11,11.451612903225806,152,34.86,11.921052631578947
Shaw / Jane E.,person,,,,,,,False,False,False,2,2.0,5,1.5833333333333333,0.2546728971962617,0.07311960197892502,0.0013876498040340634,0.0027890807564961307,6.7368421052631575,7.0,0.0011972875463417147,0.0018233825966566973,0.4,4,6,7,4,2.5,364.0,380.0,392.0,383.0,353.0,342.0,394.0,396.0,5,1.15,7.0,27,6.19,10.518518518518519,124,28.44,12.17741935483871
Sheares / Bradley T.,person,,,,,,,False,False,False,2,2.0,11,3.3333333333333335,0.3170909090909091,0.08555729984301413,0.005813936834017067,0.010532038116663226,11.250000000000002,12.0,0.011305362513412194,0.012513822023120168,0.4909090909090909,27,7,22,7,5.5,139.0,138.0,137.0,160.0,122.0,60.0,219.0,208.0,11,2.52,12.0,76,17.43,13.657894736842104,302,69.27,12.079470198675496
Shepard / Donald J.,person,,,,,,,True,False,False,2,2.0,6,1.65,0.30089717046238784,0.07500430070531568,0.0016628839641024133,0.0015591057682168093,12.323232323232325,14.0,0.015876945043567896,0.010744042167965383,0.4666666666666667,7,7,13,5,3.0,336.0,378.0,230.0,363.0,340.0,376.0,166.0,239.0,6,1.38,14.0,59,13.53,16.06779661016949,263,60.32,12.70722433460076
Skates / Ronald L.,person,,,,,,,True,False,False,2,2.0,1,0.3333333333333333,0.16256524981357195,0.04934638673532907,0.0,0.0,3.0,3.0,9.041743125568849e-07,3.091898322189262e-06,0.0,0,8,1,1,0.5,435.0,435.0,437.0,437.0,411.0,410.0,437.0,437.0,1,0.23,3.0,3,0.69,4.333333333333333,9,2.06,5.111111111111111
Skinner / James A.,person,,,,,,,False,False,False,3,3.0,10,2.3,0.29863013698630136,0.07909297052154195,0.0011571329762691401,0.0013824739006643469,12.978260869565219,13.3,0.009665325749791752,0.009680562523088255,0.5777777777777777,26,6,24,7,3.3333333333333335,177.0,306.0,243.0,305.0,364.0,383.0,236.0,248.0,10,2.29,13.3,66,15.14,13.409090909090908,243,55.73,12.683127572016462
Slater / Rodney E.,person,,,,,,,False,False,False,2,2.0,12,3.8333333333333335,0.3017301038062284,0.08633093525179855,0.0027265052859330847,0.007286935474217981,11.043478260869565,11.166666666666666,0.010779585820823384,0.016249363178428445,0.48484848484848486,32,7,23,7,6.0,112.0,93.0,223.0,138.0,275.0,140.0,222.0,172.0,12,2.75,11.166666666666666,62,14.22,13.370967741935484,252,57.8,12.416666666666666
Small / Lawrence M.,person,,,,,,,False,False,True,2,2.0,6,1.7833333333333332,0.27455919395465994,0.07345013477088949,0.0007353131982239692,0.0020762634555738,9.205607476635514,10.166666666666666,0.003776346295024562,0.0038719171709482125,0.6,9,6,8,4,3.0,336.0,353.0,345.0,382.0,386.0,365.0,318.0,342.0,6,1.38,10.166666666666666,37,8.49,12.54054054054054,172,39.45,13.354651162790697
Smisek / Jeffery A.,person,,,,,,,False,False,False,2,2.0,6,1.8666666666666665,0.27335423197492165,0.07579313342025207,0.008645484630830185,0.00821058995370922,8.071428571428573,9.0,0.0026991031561685104,0.0027786300916838413,0.4666666666666667,7,7,6,4,3.0,336.0,351.0,349.0,350.0,75.0,106.0,352.0,365.0,6,1.38,9.0,33,7.57,12.878787878787879,174,39.91,12.408045977011493
Smith / Frederick Wallace,person,,,,,,,False,True,False,2,1.0,17,5.069047619047619,0.35855263157894735,0.09827566775611406,0.00442211044479893,0.017247576699490653,20.663222170032878,21.529411764705884,0.10626088851079496,0.13272548620035332,0.5955882352941176,81,5,39,12,8.5,51.0,26.0,28.0,4.0,198.0,7.0,21.0,19.0,17,3.9,21.529411764705884,144,33.03,14.708333333333334,369,84.63,11.444444444444445
Smith / Joshua I.,person,,,,,,,False,False,False,3,3.0,20,4.694444444444445,0.3627287853577371,0.09077659795960857,0.023063630587486585,0.01116100482993871,15.210650887573962,16.2,0.044179690797936357,0.03328672538061846,0.35789473684210527,68,5,36,9,6.666666666666667,29.0,44.0,18.0,63.0,9.0,51.0,60.0,79.0,20,4.59,16.2,151,34.63,13.463576158940397,373,85.55,11.396782841823056
Smith / Orin C.,person,,,,,,,False,False,False,2,2.0,9,2.9166666666666665,0.3031988873435327,0.08950015395668685,0.00161876203915059,0.0048533800669200875,13.428571428571429,13.88888888888889,0.030624824088568828,0.04269228496051281,0.5277777777777778,19,6,22,7,4.5,217.0,206.0,218.0,79.0,342.0,238.0,83.0,55.0,9,2.06,13.88888888888889,69,15.83,16.536231884057973,260,59.63,12.584615384615384
Snow / John W.,person,,,,,,,False,False,False,2,2.0,13,3.691666666666667,0.3359013867488444,0.08614330874604846,0.00830360088523706,0.007651545584952728,13.74943566591422,16.0,0.029253974875858006,0.018795799371717506,0.47435897435897434,37,6,25,7,6.5,94.0,109.0,71.0,144.0,79.0,121.0,86.0,151.0,13,2.98,16.0,115,26.38,14.530434782608696,335,76.83,11.725373134328358
Sommerhauser / Peter M.,person,,,,,,,False,False,False,2,2.0,7,3.0,0.2237044638276039,0.06703051733415327,0.0018597542419703256,0.0031343182869598535,6.333333333333332,6.142857142857143,0.00013792898058699436,0.0004572588953003329,0.6190476190476191,13,7,13,5,3.5,298.0,188.0,423.0,413.0,327.0,326.0,430.0,425.0,7,1.61,6.142857142857143,15,3.44,6.2,45,10.32,9.422222222222222
Sorenson / Arne M.,person,,,,,,,False,False,False,2,2.0,8,2.75,0.2847811887655127,0.0810333612117833,0.0009396543814627062,0.0063929540353140565,10.454545454545455,10.0,0.005002709980857789,0.007083846727769331,0.6071428571428571,17,6,17,6,4.0,258.0,238.0,302.0,262.0,379.0,181.0,294.0,283.0,8,1.83,10.0,43,9.86,12.348837209302326,199,45.64,13.246231155778894
Speer / David B.,person,,,,,,,False,False,False,2,2.0,10,2.6,0.31894659839063644,0.0811640966771121,0.001696408957767478,0.0033774895883405855,15.237179487179484,16.6,0.025823457490126107,0.019235226730636663,0.6,27,7,23,7,5.0,177.0,265.0,134.0,260.0,338.0,313.0,106.0,149.0,10,2.29,16.6,88,20.18,15.488636363636363,300,68.81,12.04
