node_type,org_cat,corp_cat,corp_sub,rank,banker,PPG_director,PPG_member,bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,person,,,,True,False,False,4,32,6.548015873015877,0.40842648323301806,0.0891806643803039,0.004099924037284065,0.002185563286408337,25.98157687412882,27.09375,0.052725108187380694,0.042334200833078046,0.3528225806451613,175,4,55,15,8.0,61.0,96.0,80.0,106.0,130.0,330.0,85.0,123.0,32,6.74,27.09375,244,51.37,25.692622950819672,461,97.05,20.20173535791757
person,person,,,,False,False,False,2,5,1.2095238095238094,0.3397711015736767,0.07440573315754434,0.0,0.0,23.283464566929133,28.2,0.008030626273824755,0.004662964246917836,1.0,10,5,7,5,2.5,445.0,459.0,349.0,391.0,446.0,450.0,347.0,373.0,5,1.05,28.2,114,24.0,28.289473684210527,387,81.47,22.07751937984496
person,person,,,,True,False,False,2,9,2.208333333333333,0.34050179211469533,0.07177648048435273,0.00037925840103079954,0.0015921942690763473,21.377358490566042,24.666666666666668,0.007593991738476592,0.003646193490456941,0.5833333333333334,21,5,18,8,4.5,387.0,427.0,341.0,422.0,384.0,370.0,349.0,389.0,9,1.89,24.666666666666668,100,21.05,25.29,399,84.0,21.789473684210527
person,person,,,,True,False,False,4,44,8.088924963924967,0.434981684981685,0.09147075343015325,0.008493025821775626,0.0038614539160841638,31.9610837328576,32.25,0.09869303890541282,0.07415408171815432,0.39112050739957716,370,4,71,22,11.0,29.0,41.0,34.0,64.0,55.0,233.0,30.0,62.0,44,9.26,32.25,294,61.89,23.935374149659864,470,98.95,19.908510638297873
person,person,,,,True,False,False,2,26,7.387301587301587,0.39915966386554624,0.09606147934678194,0.001969951609358805,0.006240473571191689,31.59830253545337,34.57692307692308,0.060698079398505106,0.07865799953183598,0.7569230769230769,246,4,70,22,13.0,102.0,58.0,117.0,15.0,213.0,123.0,73.0,49.0,26,5.47,34.57692307692308,228,48.0,25.49561403508772,456,96.0,20.32236842105263
person,person,,,,True,False,False,8,42,5.285531135531134,0.4144851657940663,0.07338344006117874,0.019009173770947838,0.0022886329748421693,26.859553293074907,26.404761904761905,0.06005849764132292,0.02581533374078287,0.2508710801393728,216,4,55,15,5.25,34.0,181.0,66.0,406.0,15.0,324.0,75.0,173.0,42,8.84,26.404761904761905,253,53.26,24.47826086956522,459,96.63,20.226579520697168
person,person,,,,False,False,False,2,7,1.2777777777777777,0.3693623639191291,0.07313693286799426,0.0004583163520376645,0.0008215263898141979,29.77173913043478,37.0,0.0149904447401883,0.006454750884650219,0.47619047619047616,10,5,15,7,3.5,427.0,455.0,227.0,410.0,371.0,412.0,262.0,346.0,7,1.47,37.0,173,36.42,26.98843930635838,435,91.58,20.875862068965517
person,person,,,,True,False,False,2,21,7.23452380952381,0.34001431639226914,0.07798391068790014,9.078257379025347e-05,0.0008859576306038156,24.531347704459428,27.476190476190474,0.029856603421339785,0.07431120330300678,0.8380952380952381,176,5,62,18,10.5,170.0,67.0,348.0,335.0,434.0,409.0,166.0,61.0,21,4.42,27.476190476190474,95,20.0,28.05263157894737,389,81.89,21.601542416452443
person,person,,,,True,False,False,2,12,3.2333333333333334,0.352112676056338,0.0839766633272438,0.0019952244661151012,0.005269823004000221,15.963917525773196,17.333333333333332,0.005914924949774615,0.007850005867134751,0.4696969696969697,31,4,19,8,6.0,331.0,352.0,299.0,208.0,211.0,161.0,362.0,333.0,12,2.53,17.333333333333332,123,25.89,23.235772357723576,416,87.58,21.30528846153846
person,person,,,,False,False,False,2,9,3.4166666666666665,0.2840909090909091,0.0659264399722415,0.0002083358752795102,0.00012283874242568447,11.829268292682926,12.0,0.0010220972538872082,0.0013276064496970516,0.7777777777777778,28,5,18,8,4.5,387.0,333.0,465.0,460.0,411.0,445.0,463.0,453.0,9,1.89,12.0,30,6.32,16.666666666666668,203,42.74,22.68472906403941
person,person,,,,False,False,False,2,11,3.916666666666667,0.31415343915343913,0.08144486040065156,0.0005361431049748522,0.003411841840889143,12.574468085106382,12.454545454545455,0.001828555096741915,0.002854277226149555,0.6727272727272727,37,5,26,9,5.5,354.0,294.0,424.0,259.0,355.0,259.0,439.0,413.0,11,2.32,12.454545454545455,47,9.89,22.404255319148938,333,70.11,22.51951951951952
person,person,,,,True,False,False,2,27,7.245634920634919,0.4098360655737705,0.09762447120078101,0.0010026764605922723,0.01098748224455986,34.47379374555014,36.51851851851852,0.06666256221188997,0.07888391480732737,0.7378917378917379,259,4,70,22,13.5,92.0,64.0,77.0,7.0,299.0,43.0,67.0,47.0,27,5.68,36.51851851851852,256,53.89,25.46875,458,96.42,20.2882096069869
person,person,,,,False,False,True,2,17,4.30952380952381,0.390625,0.08886255924170616,0.0020915344709303216,0.00779596237157863,21.84917127071823,25.705882352941178,0.0199174472316567,0.014102856390571737,0.4852941176470588,66,5,34,11,8.5,227.0,258.0,152.0,111.0,199.0,94.0,224.0,271.0,17,3.58,25.705882352941178,215,45.26,24.446511627906975,453,95.37,20.39072847682119
person,person,,,,True,False,True,7,69,10.3266428016428,0.4759519038076152,0.0877303691755499,0.023211940538841475,0.0030506963611560546,35.59714041483792,35.08695652173913,0.17355618699541459,0.12991611183425072,0.28090366581415177,659,4,68,18,9.857142857142858,2.0,4.0,1.0,137.0,9.0,281.0,1.0,12.0,69,14.53,35.08695652173913,361,76.0,22.601108033240997,472,99.37,19.786016949152543
person,person,,,,True,True,True,5,36,5.348088023088025,0.427158273381295,0.0808029259164753,0.01999467529775883,0.006777280754629192,28.988384407314715,31.13888888888889,0.08358056694955829,0.04229469440064476,0.34285714285714286,216,4,67,18,7.2,48.0,177.0,45.0,271.0,13.0,110.0,50.0,124.0,36,7.58,31.13888888888889,282,59.37,24.4468085106383,470,98.95,19.927659574468084
person,person,,,,True,False,False,2,10,2.792857142857143,0.35527299925205685,0.08437069820453233,0.0006785630469397735,0.004891503788239299,18.1696504688832,21.5,0.011722667607324417,0.009073078036653602,0.4666666666666667,21,5,19,8,5.0,372.0,388.0,292.0,199.0,332.0,185.0,307.0,324.0,10,2.11,21.5,136,28.63,28.61764705882353,418,88.0,21.425837320574164
person,person,,,,False,False,False,3,15,4.5928571428571425,0.3298611111111111,0.07240761677316088,0.0038310139234302766,0.007324469273170142,12.189217210990149,13.266666666666667,0.0033822559476157704,0.002743919584197665,0.4380952380952381,46,5,21,8,5.0,278.0,228.0,379.0,418.0,136.0,103.0,407.0,416.0,15,3.16,13.266666666666667,80,16.84,20.925,369,77.68,21.829268292682926
