node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
org,Corporation,non-financial,utility,"13,489",172.0,,13,13.0,3,0.13474025974025974,0.26968973747016706,0.011916688636962826,0.00037144765962053393,0.0003736479842674533,7.148594377510039,7.333333333333333,0.026104452897726164,0.024345053270787266,0.3333333333333333,1,7,7,3,0.23076923076923078,139.0,160.0,144.0,144.0,195.0,193.0,116.0,107.0,3,1.33,7.333333333333333,19,8.41,10.789473684210526,94,41.59,8.202127659574469
org,Corporation,financial,bank,"26,730",88.0,,13,13.0,11,0.4541351563090694,0.33933933933933935,0.014680249867379749,0.02491691674223501,0.014795149131432319,9.41488202530677,9.545454545454545,0.09879425117597787,0.14724776500135972,0.2,11,6,17,5,0.8461538461538461,19.0,29.0,23.0,29.0,28.0,70.0,21.0,12.0,11,4.87,9.545454545454545,66,29.2,8.257575757575758,170,75.22,6.641176470588236
org,Corporation,financial,insurance,"103,189",16.0,,12,12.0,6,0.22556298773690078,0.3138888888888889,0.01317284994025588,0.01600234150164584,0.01012127171419207,8.975189047595512,11.0,0.06488569519874131,0.023624978670092882,0.13333333333333333,2,7,16,5,0.5,78.0,105.0,68.0,94.0,65.0,96.0,49.0,111.0,6,2.65,11.0,55,24.34,8.290909090909091,149,65.93,7.02013422818792
org,Corporation,financial,insurance,"7,946",288.0,,9,9.0,1,0.05,0.23061224489795917,0.011121317498851781,0.0,0.0,9.0,9.0,0.002991646981445396,0.004425728915666338,0.0,0,8,1,1,0.1111111111111111,203.0,206.0,203.0,178.0,199.0,197.0,203.0,191.0,1,0.44,9.0,9,3.98,6.111111111111111,41,18.14,8.21951219512195
org,Corporation,non-financial,pharmaceutical,"71,789",24.0,,9,9.0,2,0.1,0.22944162436548224,0.009045789305155299,0.0002811680835279655,0.0007079646017699115,2.5,2.5,0.004655572049774688,0.0010826173510868392,0.0,0,8,3,2,0.2222222222222222,177.0,182.0,205.0,220.0,198.0,182.0,187.0,215.0,2,0.88,2.5,5,2.21,10.0,41,18.14,8.804878048780488
org,Corporation,non-financial,industrial,"14,642",159.0,,15,15.0,8,0.33216542522389597,0.32471264367816094,0.013863613127492076,0.022282478655180914,0.021219272369714846,9.404790397425405,10.875,0.08413861295947044,0.05737281672028333,0.21428571428571427,6,7,17,5,0.5333333333333333,49.0,57.0,42.0,65.0,37.0,41.0,30.0,39.0,8,3.54,10.875,62,27.43,8.548387096774194,155,68.58,6.935483870967742
org,Corporation,financial,insurance,"7,595",298.0,,17,17.0,10,0.3959840542599163,0.3308931185944363,0.013990487294037535,0.020213964084158643,0.01504424778761062,9.404632543487347,9.3,0.0731318117974063,0.06895997973432494,0.2222222222222222,10,6,18,5,0.5882352941176471,25.0,41.0,29.0,56.0,47.0,69.0,40.0,34.0,10,4.42,9.3,63,27.88,8.333333333333334,163,72.12,6.674846625766871
org,Corporation,non-financial,technology,"36,537",56.0,,9,9.0,6,0.2838750862663906,0.2927461139896373,0.012833738725522672,0.006568985478052396,0.009872173058013765,8.111551411866243,8.5,0.044539797083193895,0.02361239321265477,0.2,3,7,16,5,0.6666666666666666,78.0,82.0,108.0,118.0,121.0,98.0,76.0,112.0,6,2.65,8.5,37,16.37,8.513513513513514,120,53.1,7.366666666666666
org,Corporation,non-financial,services,"12,298",189.0,,3,3.0,3,0.21726190476190474,0.26248548199767713,0.012864420769019133,0.00040243036334930524,0.0035004916420845623,5.821917808219179,6.0,0.012756480840678224,0.012736041462432535,0.3333333333333333,1,7,7,3,1.0,139.0,111.0,157.0,113.0,193.0,149.0,148.0,138.0,3,1.33,6.0,16,7.08,9.0625,83,36.73,8.096385542168674
org,Corporation,non-financial,food/agriculture,"69,207",27.0,,10,10.0,7,0.3236077289247299,0.31520223152022314,0.01507722072117148,0.016766312838425314,0.02473942969518191,9.662865051484406,9.285714285714286,0.061628891429544544,0.11928577558349644,0.14285714285714285,3,6,13,4,0.7,63.0,62.0,64.0,23.0,62.0,31.0,52.0,18.0,7,3.1,9.285714285714286,47,20.8,8.76595744680851,146,64.6,6.986301369863014
