node_type,org_cat,corp_cat,corp_sub,rank,banker,PPG_director,PPG_member,bipartite_degree,ppg_bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
person,person,,,,False,False,True,2,2,2.0,17,4.30952380952381,0.38854003139717425,0.08778930566640064,0.0018791684372820115,0.007352339268668554,22.017679558011046,25.941176470588236,0.01861469436509944,0.014254972247980436,0.4852941176470588,66,5,30,11,8.5,235.0,265.0,165.0,137.0,219.0,105.0,242.0,281.0,17,3.43,25.941176470588236,218,44.04,25.05045871559633,472,95.35,20.709745762711865
person,person,,,,True,False,True,7,7,7.0,70,10.273359973359973,0.4750479846449136,0.08622466606086819,0.020887050274253135,0.002983792336019057,36.64609811491184,36.24285714285714,0.17213771807136047,0.11840721892826474,0.28240165631469977,682,4,67,19,10.0,2.0,4.0,1.0,170.0,10.0,299.0,3.0,16.0,70,14.14,36.24285714285714,376,75.96,22.98404255319149,492,99.39,20.089430894308943
person,person,,,,True,True,True,6,6,5.0,42,5.410353535353536,0.43118466898954705,0.07686932215234102,0.02248011779605791,0.0029259726628147677,29.210901816969496,31.38095238095238,0.09249490466544126,0.03583616551391994,0.30313588850174217,261,4,66,19,7.0,36.0,177.0,38.0,380.0,9.0,302.0,36.0,143.0,42,8.48,31.38095238095238,301,60.81,24.67109634551495,489,98.79,20.233128834355828
person,person,,,,True,False,False,2,2,2.0,11,3.1261904761904766,0.3568853640951694,0.08570315543435918,0.0009543066984658548,0.004595439048880344,18.018278750952017,21.09090909090909,0.011063913380769745,0.009185493815023715,0.4727272727272727,26,5,21,9,5.5,371.0,380.0,298.0,177.0,313.0,199.0,326.0,339.0,11,2.22,21.09090909090909,142,28.69,28.633802816901408,441,89.09,21.600907029478456
person,person,,,,False,False,False,3,3,3.0,15,4.5928571428571425,0.32759761747187294,0.07189281434951525,0.0035563080808061883,0.007023705221472367,12.189217210990149,13.266666666666667,0.0031278969039764994,0.002786049007304362,0.4380952380952381,46,5,18,8,5.0,290.0,235.0,407.0,447.0,147.0,115.0,430.0,434.0,15,3.03,13.266666666666667,80,16.16,21.3625,380,76.77,22.228947368421053
person,person,,,,False,True,False,2,2,1.0,11,3.4166666666666665,0.3125,0.08588034583465864,0.0017676967563533715,0.009413388380999713,11.756097560975611,12.0,0.0011423252153636878,0.0022875609571010123,0.4909090909090909,27,5,20,9,5.5,371.0,351.0,449.0,173.0,229.0,58.0,481.0,453.0,11,2.22,12.0,55,11.11,17.87272727272727,333,67.27,23.04204204204204
person,person,,,,False,False,False,2,2,2.0,22,5.883333333333332,0.3891509433962264,0.09354036093351388,0.003449506016778956,0.012777352046537476,25.35977337110482,27.227272727272727,0.02415073075409926,0.03063562096175111,0.48484848484848486,112,4,46,14,11.0,162.0,141.0,159.0,28.0,152.0,17.0,196.0,161.0,22,4.44,27.227272727272727,216,43.64,27.824074074074073,470,94.95,20.738297872340425
person,person,,,,False,False,False,3,3,3.0,12,4.949999999999999,0.30918176139912557,0.06893030380393157,0.0007524970542168755,0.0017856704698809957,12.164983164983166,13.083333333333334,0.0020391021559280323,0.0024167340146715208,0.6515151515151515,43,5,17,8,4.0,347.0,212.0,458.0,464.0,335.0,369.0,449.0,448.0,12,2.42,13.083333333333334,49,9.9,20.693877551020407,322,65.05,23.338509316770185
person,person,,,,True,False,False,3,3,3.0,30,5.787698412698413,0.4163162321278385,0.089857045609258,0.005039856208134579,0.008222805654360708,32.51840932464861,34.6,0.06063290769494137,0.045264095469548175,0.46206896551724136,201,4,55,15,10.0,76.0,154.0,67.0,92.0,106.0,83.0,75.0,123.0,30,6.06,34.6,276,55.76,25.213768115942027,485,97.98,20.34845360824742
person,person,,,,False,False,False,2,2,2.0,7,3.15,0.28930450029222676,0.06888713642900218,9.618643955904054e-05,0.0023190216454846567,9.941798941798941,10.428571428571429,0.001385492148285509,0.0018543391445030495,0.8095238095238095,17,5,9,6,3.5,446.0,378.0,483.0,466.0,449.0,332.0,473.0,462.0,7,1.41,10.428571428571429,35,7.07,21.771428571428572,253,51.11,24.49802371541502
