node,node_type,org_cat,corp_cat,corp_sub,revenue_or_assets_$M,fortune_500_rank,Unnamed: 7,banker,PPG_director,PPG_member,bipartite_degree,corp_bipartite_degree,degree,degree_w,closeness,closeness_w,betweenness,betweenness_w,average_neighbour_degree_w,average_neighbour_degree,EVC,EVC_w,clustering_co_eff,triangles,eccentricity,onion_layer,core_no,bipartite_degree/degree,degree_ranked,degree_w_ranked,closeness_ranked,closeness_w_ranked,betweenness_ranked,betweenness_w_ranked,EVC_ranked,EVC_w_ranked,no. 1 step nodes (degree),1 step % reached,1 step nodes average degree,no. 2 step nodes,2 step % reached,2 step nodes average degree,no. 3 step nodes,3 step % reached,3 step nodes average degree
Myers / Richard B.,person,,,,,,,False,False,True,4,4.0,25,4.828571428571429,0.3688663282571912,0.083190230871971,0.02616624668928094,0.0067792205509699935,13.925049309664695,14.4,0.03793967474341226,0.022728051947714736,0.25333333333333335,76,6,28,7,6.25,19.0,46.0,20.0,215.0,5.0,157.0,75.0,126.0,25,5.73,14.4,165,37.84,14.915151515151516,381,87.39,11.774278215223097
Neubauer / Joseph,person,,,,,,,False,False,False,3,3.0,11,2.75,0.29842573579739906,0.08160464173191503,0.0035453310033677853,0.003023627075351214,10.0,10.0,0.006024167069015811,0.008528850459622195,0.43636363636363634,24,6,23,7,3.6666666666666665,142.0,239.0,257.0,253.0,226.0,324.0,281.0,260.0,11,2.52,10.0,58,13.3,13.275862068965518,250,57.34,13.288
Newcomb / Nancy S.,person,,,,,,,False,False,True,2,2.0,7,2.1166666666666667,0.28534031413612565,0.07560475130776566,0.001779057869946253,0.003921968133451841,8.440944881889765,9.142857142857142,0.0034939594260364605,0.0029521244050934375,0.5238095238095238,11,6,14,5,3.5,299.0,325.0,310.0,351.0,327.0,281.0,326.0,354.0,7,1.61,9.142857142857142,41,9.4,12.414634146341463,208,47.71,13.875
Niblock / Robert A.,person,,,,,,,False,False,False,2,2.0,8,2.45,0.32200886262924666,0.08763819095477388,0.0037515665927420686,0.0062119979566990025,13.646258503401361,15.125,0.02277657570742346,0.023080559774534947,0.5714285714285714,16,6,18,6,4.0,262.0,288.0,139.0,118.0,215.0,176.0,118.0,124.0,8,1.83,15.125,85,19.5,18.176470588235293,314,72.02,12.67515923566879
Nicholas / N. J. Jr.,person,,,,,,,False,False,True,2,2.0,9,3.166666666666667,0.29559322033898305,0.08687277919835286,0.0011048479006337962,0.00454507320647283,13.394736842105262,14.333333333333334,0.027000488589773802,0.04290188809011095,0.6666666666666666,24,6,23,7,4.5,220.0,164.0,272.0,128.0,363.0,255.0,103.0,70.0,9,2.06,14.333333333333334,55,12.61,16.636363636363637,235,53.9,13.412765957446808
Nicolaisen / Donald T.,person,,,,,,,True,False,False,2,2.0,11,3.45,0.30235783633841884,0.08678631854825332,0.0024099393708384973,0.003130710783352355,11.386473429951689,11.545454545454545,0.00696039421843185,0.01182650174268862,0.509090909090909,28,7,25,7,5.5,142.0,128.0,237.0,131.0,290.0,320.0,263.0,204.0,11,2.52,11.545454545454545,63,14.45,13.26984126984127,259,59.4,13.065637065637066
Notebaert / Richard C.,person,,,,,,,False,False,False,2,2.0,9,2.533333333333333,0.307475317348378,0.08097316371065094,0.0027126129465665986,0.004924770404340497,12.236842105263158,13.0,0.00627620892154651,0.005957069544409881,0.5,18,6,23,7,4.5,220.0,277.0,213.0,269.0,262.0,231.0,277.0,291.0,9,2.06,13.0,68,15.6,13.455882352941176,275,63.07,13.127272727272727
Novak / David C.,person,,,,,,,True,False,False,2,2.0,13,3.8166666666666673,0.32831325301204817,0.09196372073402236,0.008257560858596042,0.013503462336110229,15.777292576419212,16.923076923076923,0.04207944970205543,0.05034172045736001,0.48717948717948717,38,6,30,8,6.5,99.0,100.0,113.0,68.0,77.0,25.0,71.0,60.0,13,2.98,16.923076923076923,99,22.71,16.828282828282827,317,72.71,12.570977917981072
Nunn / Samuel A.,person,,,,,,,False,False,True,4,4.0,24,4.476190476190477,0.35218093699515346,0.08362369337979093,0.017104177443037428,0.0026665888331500473,14.64787234042553,14.916666666666666,0.04837394728557359,0.043107974583883164,0.26811594202898553,74,7,37,9,6.0,23.0,58.0,50.0,200.0,24.0,343.0,62.0,69.0,24,5.5,14.916666666666666,147,33.72,15.829931972789115,350,80.28,12.062857142857142
O'Hare / Dean R.,person,,,,,,,False,False,False,2,2.0,11,3.2,0.2928139691067831,0.08164794007490636,0.004213419473160196,0.00623245607427828,10.619791666666666,11.090909090909092,0.006195198355084018,0.004762363235255086,0.509090909090909,28,7,22,7,5.5,142.0,161.0,285.0,251.0,194.0,175.0,279.0,315.0,11,2.52,11.090909090909092,51,11.7,12.215686274509803,233,53.44,13.369098712446352
